Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100nF 16V,C1525
"D1, D2",D_SMA,2,SS12,C18199177
"D10, D11, D4, D5, D6, D7, D8, D9",0603,8,LED,C2287
D3,SOT-23,1,BAT54S,C19726
J1,Molex_Mini-Fit_Jr_5569-16A2_2x08_P4.20mm_Horizontal,1,CAR_IN,C485577
J2,PinSocket_2x19_P2.54mm_Vertical,1,aux_pin,C2883962
J3,Molex_Mini-Fit_Jr_5569-16A2_2x08_P4.20mm_Horizontal,1,CAR_OUT,C485577
J4,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Mode_Selector,C163035
"K1, K2",Relay_2P2T_10x6mm_TE_IMxxG,2,IM03,C2153100
"Q10, Q9",SOT-23,2,AO3400A,C20917
"R10, R11, R17, R18, R21",0603,5,330,C23138
"R12, R15, R16, R5, R6, R7, R8, R9",0603,8,10k,C25804
"R13, R14, R30, R31",0603,4,4.7k,C23162
"R19, R2, R20, R22, R3, R4",1206,6,22k,C25654
"R23, R24, R25, R27, R28",0603,5,1k,C21190
R26,0603,1,15k,C22809
R29,1206,1,470,C25383
TP1,TestPoint_Pad_1.0x1.0mm,1,Pedal_IN,
TP2,TestPoint_Pad_1.0x1.0mm,1,Foward_IN,
TP3,TestPoint_Pad_1.0x1.0mm,1,Backward_IN,
TP4,TestPoint_Pad_1.0x1.0mm,1,Pedal_OUT,
TP5,TestPoint_Pad_1.0x1.0mm,1,Foward_OUT,
TP6,TestPoint_Pad_1.0x1.0mm,1,Backward_OUT,
TP7,TestPoint_Pad_1.0x1.0mm,1,MCOR_Speed_Control_from_MCU,
TP8,TestPoint_Pad_1.0x1.0mm,1,Speed_Sensor,
TP9,TestPoint_Pad_1.0x1.0mm,1,MCOR_Speed_Control_IN,
"U1, U3",SOP-16_4.4x10.4mm_P1.27mm,2,TLP291-4,C60900
U2,SOT-23-6,1,MCP4725xxx-xCH,C144198
U4,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306,C33196
