Designator,Mid X,Mid Y,Rotation,Layer
C1,139.412072,-93.122955,270.0,top
D1,133.4,-59.6,0.0,top
D10,107.4,-84.4,180.0,top
D11,93.2,-96.175,270.0,top
D2,133.4,-78.0,0.0,top
D3,144.2,-96.4,270.0,top
D4,104.0,-63.8,180.0,top
D5,104.0,-67.0,180.0,top
D6,104.0,-70.2,180.0,top
D7,107.4,-89.0,180.0,top
D8,107.3875,-91.4,180.0,top
D9,107.3875,-94.0,180.0,top
H1,83.05,-102.0,90.0,top
H2,153.05,-102.1,90.0,top
H3,83.05,-40.11,0.0,top
H4,153.05,-40.11,0.0,top
J1,87.975,-72.5,270.0,top
J2,119.145,-101.635,180.0,top
J3,148.13,-74.065,90.0,top
J4,88.359119,-94.731233,90.0,top
K1,133.5,-67.0,270.0,top
K2,133.8,-85.0,270.0,top
Q10,127.2,-78.0,270.0,top
Q9,126.6,-59.6,270.0,top
R10,123.6,-62.8,180.0,top
R11,124.2,-81.0,180.0,top
R12,127.2,-81.0,180.0,top
R13,134.012072,-92.782308,90.0,top
R14,132.477045,-91.845857,90.0,top
R15,94.0,-93.775,180.0,top
R16,119.7875,-87.6,0.0,top
R17,104.0,-62.2,180.0,top
R18,104.025,-65.4,180.0,top
R19,117.0,-63.0,0.0,top
R2,102.9875,-89.0,0.0,top
R20,117.0,-67.0,0.0,top
R21,104.0,-68.6,180.0,top
R22,117.0,-71.6,0.0,top
R23,101.6,-63.0,270.0,top
R24,101.6,-66.2,270.0,top
R25,101.6,-69.4,270.0,top
R26,140.2,-96.6,0.0,top
R27,102.7875,-84.4,0.0,top
R28,94.8,-96.175,270.0,top
R29,102.9875,-86.4,0.0,top
R3,102.9875,-91.4,0.0,top
R30,133.0,-96.2,0.0,top
R31,133.0,-97.8,0.0,top
R4,102.9875,-94.0,0.0,top
R5,137.2,-96.6,0.0,top
R6,119.811931,-90.1519,0.0,top
R7,119.7875,-92.6,0.0,top
R8,119.7875,-95.2,0.0,top
R9,126.6,-62.8,180.0,top
TP1,99.4,-88.6,0.0,top
TP2,99.6,-92.8,0.0,top
TP3,99.5,-56.5,0.0,top
TP4,116.8,-59.8,0.0,top
TP5,117.0,-69.2,0.0,top
TP6,117.0,-73.8,0.0,top
TP7,135.2,-73.6,0.0,top
TP8,101.0,-82.2,0.0,top
TP9,98.5,-72.0,0.0,top
U1,113.5875,-90.8,270.0,top
U2,136.8,-93.6,90.0,top
U3,110.0,-67.6,270.0,top
U4,130.2,-95.4,270.0,top
